ir,Accuracy equality difference,Equal opportunity difference,Negative predictive parity difference,Positive predictive parity difference,Predictive equality difference,Statistical parity
0.0,0.033846153846153845,0.0,0.07247863247863248,0.7863247863247863,0.033846153846153845,0.033846153846153845
0.041656494140625,0.02923076923076923,0.0,0.07730769230769231,0.3892307692307692,0.016923076923076923,0.02923076923076923
0.08331298828125,0.02782608695652174,0.2,0.11878260869565217,0.23726086956521739,0.026956521739130435,0.02782608695652174
0.125,0.027470355731225297,0.2,0.13263339920948616,0.1632411067193676,0.03162055335968379,0.027470355731225297
0.1666259765625,0.027506654835847383,0.2,0.12551423731547956,0.12264257481648785,0.04009034443817053,0.027506654835847383
0.2083740234375,0.027782931354359927,0.14285714285714285,0.11449443413729128,0.09742578849721707,0.023376623376623377,0.027782931354359927
0.25,0.02819548872180451,0.16666666666666666,0.10501253132832081,0.08199964196204798,0.04661654135338346,0.02819548872180451
0.291748046875,0.028596491228070176,0.1,0.0952266081871345,0.07116959064327485,0.028070175438596492,0.028596491228070176
0.333251953125,0.028964568283453732,0.11515151515151516,0.09019607843137255,0.06414610501297807,0.048503611971104234,0.028964568283453732
0.375,0.02923351158645276,0.09090909090909091,0.08337789661319073,0.059269162210338684,0.05392156862745098,0.02923351158645276
0.416748046875,0.029473467708761827,0.09090909090909091,0.08043500617030029,0.0563399835458659,0.05588235294117647,0.029473467708761827
0.458251953125,0.02968995290423862,0.054945054945054944,0.07709968602825745,0.05456240188383046,0.04285714285714286,0.02968995290423862
0.5,0.02981765487259993,0.08571428571428572,0.07614539306846999,0.05436058447047458,0.08571428571428572,0.02981765487259993
0.54150390625,0.02968995290423862,0.04285714285714286,0.07488716640502355,0.05456240188383046,0.054945054945054944,0.02968995290423862
0.58349609375,0.029473467708761827,0.05588235294117647,0.07410530645824763,0.0563399835458659,0.09090909090909091,0.029473467708761827
0.625,0.02923351158645276,0.05392156862745098,0.07461564171122995,0.059269162210338684,0.09090909090909091,0.02923351158645276
0.66650390625,0.028964568283453732,0.048503611971104234,0.07739938080495357,0.06414610501297807,0.11515151515151516,0.028964568283453732
0.70849609375,0.028596491228070176,0.028070175438596492,0.08225877192982456,0.07116959064327485,0.1,0.028596491228070176
0.75,0.02819548872180451,0.04661654135338346,0.08599176512710348,0.08199964196204798,0.16666666666666666,0.02819548872180451
0.79150390625,0.027782931354359927,0.023376623376623377,0.0959647495361781,0.09742578849721707,0.14285714285714285,0.027782931354359927
0.83349609375,0.027506654835847383,0.04009034443817053,0.111397918851335,0.12264257481648785,0.2,0.027506654835847383
0.875,0.027470355731225297,0.03162055335968379,0.13322628458498023,0.1632411067193676,0.2,0.027470355731225297
0.91650390625,0.02782608695652174,0.026956521739130435,0.18091304347826087,0.23726086956521739,0.2,0.02782608695652174
0.95849609375,0.02923076923076923,0.016923076923076923,0.285,0.3892307692307692,0.0,0.02923076923076923
1.0,0.033846153846153845,0.033846153846153845,0.5511111111111111,0.7863247863247863,0.0,0.033846153846153845
